Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
91,4.2397244691213,2475.21157431329,11632.194364635,Toluene,81.1707216166923,V6.4_ac.ac1_12312020_young,V6.4_ac.ac1_12312020_young.D
85.89,4.24005865263743,142122.97513374,184790.182139567,"Pyrrole-2-carboxylic acid, 4-(2-diethylaminoethyl)-3,5-dimethyl-, benzyl ester",60.6273764664204,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
44.95,4.24079725743427,1915.13106952667,2458.24480027742,"Acetic acid, methoxy-, anhydride",56.1886671767979,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
91.01,4.24283844645708,1252.22156534103,7574.51389235142,Toluene,75.6309313844836,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
47,4.24512306447527,43254.1043611546,138977.454860484,"1-Buten-3-yne, 1-chloro-, (Z)-",62.669474914597,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
83.93,4.30618031907343,1152.32151873831,1327.73626624764,1-(1'-pyrrolidinyl)-2-butanone,67.1050615308787,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
48.95,4.32988803768474,752.646166870112,33331.3773121916,Trichloromethane,74.7090841527373,V6.3_dc.ac1_12312020_young,V6.3_dc.ac1_12312020_young.D
70,4.37620076061404,521.506534255724,876.530504005274,"1-Hexanol, 4-methyl-",55.9978865996984,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
77.97,4.39758576409391,127.320269992829,586.19729893323,2-(Trifluoromethyl)pyridine,51.065374827439,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
54.96,4.42819582607015,1654.29003899882,4652.43540614342,Isobutyl acrylate,80.5062203562504,V9.10_ac.zm2_01192021_mature,V9.10_ac.zm2_01192021_mature.D
